<Ticker>,<DTYYYYMMDD>,<OpenFixed>,<HighFixed>,<LowFixed>,<CloseFixed>,<Volume>,<Open>,<High>,<Low>,<Close>,<VolumeDeal>,<VolumeFB>,<VolumeFS>
VIC,20200304,104.6,105.5,103.5,105.5,443810,104.6,105.5,103.5,105.5,0,52260,388620
VIC,20200303,105.1,105.6,104.5,105.5,557950,105.1,105.6,104.5,105.5,0,147930,397720
VIC,20200302,104,105.4,102.7,105.4,742130,104,105.4,102.7,105.4,0,147930,397720
VIC,20200228,105,105.4,103,105.4,870840,105,105.4,103,105.4,0,619060,645050
VIC,20200227,105.8,106,104.1,105.6,740420,105.8,106,104.1,105.6,233600,194960,295920
VIC,20200226,104,106.6,104,105.9,625410,104,106.6,104,105.9,0,284270,139700
VIC,20200225,106.7,107.3,105.9,107,543820,106.7,107.3,105.9,107,0,1089340,507310
VIC,20200224,107.1,108,105.5,107.3,1428650,107.1,108,105.5,107.3,0,1089340,507310
VIC,20200221,108.6,110,107.8,109.9,309060,108.6,110,107.8,109.9,0,195410,92710
VIC,20200220,106,110,105,110,353570,106,110,105,110,0,566300,776720
VIC,20200219,103.5,107,103.5,105,875320,103.5,107,103.5,105,0,566300,776720
VIC,20200218,107,107,104,104.5,791870,107,107,104,104.5,100000,201880,575720
VIC,20200217,110,110,105,108,742220,110,110,105,108,200000,383980,559340
VIC,20200214,112.3,112.6,110,110,252390,112.3,112.6,110,110,150000,104740,187120
VIC,20200213,111.5,112.7,111.4,112.4,285340,111.5,112.7,111.4,112.4,0,187530,145990
VIC,20200212,113.4,113.4,112,112,452790,113.4,113.4,112,112,0,243130,334890
VIC,20200211,113.5,114.2,113,113.4,290630,113.5,114.2,113,113.4,0,227770,176960
VIC,20200210,113,114.1,113,113.7,192700,113,114.1,113,113.7,0,110430,104350
VIC,20200207,114,114.4,112,114.4,1295520,114,114.4,112,114.4,63340,292800,822030
VIC,20200206,114.5,114.7,112.8,114.4,676290,114.5,114.7,112.8,114.4,75710,87130,468130
VIC,20200205,114.8,114.8,113,114.5,468420,114.8,114.8,113,114.5,376370,236340,271530
VIC,20200204,113.6,114.8,111.8,114.8,1485500,113.6,114.8,111.8,114.8,0,413600,935870
VIC,20200203,113.8,114.8,112.3,114.8,760420,113.8,114.8,112.3,114.8,0,179570,401270
VIC,20200131,114.9,114.9,113.6,114.8,831740,114.9,114.9,113.6,114.8,0,63130,233780
VIC,20200130,114.1,114.9,112.1,114.9,682720,114.1,114.9,112.1,114.9,0,251990,505850
VIC,20200122,114.9,114.9,114.2,114.9,371780,114.9,114.9,114.2,114.9,0,93350,277620
VIC,20200121,114.3,115,114.3,114.9,181510,114.3,115,114.3,114.9,26000,63880,99430
VIC,20200120,114.9,114.9,114.3,114.9,370670,114.9,114.9,114.3,114.9,0,137540,281470
VIC,20200117,114.9,115.1,114.4,114.9,169100,114.9,115.1,114.4,114.9,0,78010,52160
VIC,20200116,115,115.1,114.3,115,186740,115,115.1,114.3,115,0,75290,73770
VIC,20200115,115,115,114.3,115,205600,115,115,114.3,115,30000,56190,66960
VIC,20200114,114.9,115.1,114.3,115,101150,114.9,115.1,114.3,115,0,111160,42400
VIC,20200113,114.7,115.1,114.5,114.9,146680,114.7,115.1,114.5,114.9,0,0,0
VIC,20200110,115,115,114.7,114.8,159120,115,115,114.7,114.8,0,97900,41930
VIC,20200109,114.3,115.1,114.2,114.7,273870,114.3,115.1,114.2,114.7,96000,239500,116630
VIC,20200108,114.5,114.7,113.6,114.3,468910,114.5,114.7,113.6,114.3,0,290670,246010
VIC,20200107,114.5,115,114.3,114.7,183910,114.5,115,114.3,114.7,0,61850,140930
VIC,20200106,115,115,114.4,114.5,301910,115,115,114.4,114.5,0,47370,226270
VIC,20200103,115,115.3,114.3,115.3,248940,115,115.3,114.3,115.3,0,44760,109930
VIC,20200102,114.9,115,114,115,440280,114.9,115,114,115,0,95360,226140
VIC,20191231,115,115,114.1,115,614630,115,115,114.1,115,0,108140,445890
VIC,20191230,114.5,115,114.2,115,504080,114.5,115,114.2,115,0,114110,269160
VIC,20191227,115.4,115.4,114,115.2,564070,115.4,115.4,114,115.2,605600,210400,357770
VIC,20191226,115.3,115.7,114.4,115.4,507390,115.3,115.7,114.4,115.4,0,115690,276950
VIC,20191225,115.3,115.5,114.3,115.5,348350,115.3,115.5,114.3,115.5,0,57050,160280
VIC,20191224,115.6,115.6,114.3,115.5,449960,115.6,115.6,114.3,115.5,0,114110,269160
VIC,20191223,115.8,115.8,114.3,115.7,591380,115.8,115.8,114.3,115.7,0,95980,360290
VIC,20191220,115.8,115.8,114.7,115.8,839200,115.8,115.8,114.7,115.8,1101640,591100,1831190
VIC,20191219,115.8,116,114,115.8,974360,115.8,116,114,115.8,251440,258490,612310
VIC,20191218,115,115.9,114.5,115.8,847090,115,115.9,114.5,115.8,115010,242380,565270
VIC,20191217,115.8,115.8,114.5,115.8,273030,115.8,115.8,114.5,115.8,154360,105430,120340
VIC,20191216,116,116,114.8,115.8,377010,116,116,114.8,115.8,487070,137980,226990
VIC,20191213,115.8,116,114.9,116,295370,115.8,116,114.9,116,0,67250,138590
VIC,20191212,116,116,115.2,116,334050,116,116,115.2,116,0,69790,195010
VIC,20191211,115.9,115.9,114.5,115.9,301370,115.9,115.9,114.5,115.9,0,99680,179990
VIC,20191210,115.5,115.9,113.6,115.9,575810,115.5,115.9,113.6,115.9,0,96040,333530
VIC,20191209,115.8,115.9,115,115.9,188330,115.8,115.9,115,115.9,0,84210,51650
VIC,20191206,116,116.3,115.4,115.9,144740,116,116.3,115.4,115.9,0,61680,48390
VIC,20191205,116,116.1,115.5,115.8,167250,116,116.1,115.5,115.8,201500,80430,47260
VIC,20191204,114.2,115.5,114.2,115.5,179900,114.2,115.5,114.2,115.5,60000,84910,66530
VIC,20191203,115,116.3,114.2,115,300130,115,116.3,114.2,115,575000,75870,109230
VIC,20191202,115.5,116.3,113.8,115,300040,115.5,116.3,113.8,115,0,108530,180290
VIC,20191129,115.7,116.1,114.5,115.7,205040,115.7,116.1,114.5,115.7,985275,134180,85570
VIC,20191128,115.1,116,114.3,115.7,232980,115.1,116,114.3,115.7,100000,71470,125920
VIC,20191127,115.2,116.3,115.1,115.6,304630,115.2,116.3,115.1,115.6,0,151620,130190
VIC,20191126,116,116,115.1,115.2,1027110,116,116,115.1,115.2,0,756570,903310
VIC,20191125,116.2,116.2,115.5,116,234180,116.2,116.2,115.5,116,0,87190,102900
VIC,20191122,115.9,116.9,115.3,116.2,308940,115.9,116.9,115.3,116.2,0,95460,96710
VIC,20191121,117,117,113.8,115.3,1567980,117,117,113.8,115.3,0,450010,827230
VIC,20191120,117.2,117.2,116,116,705410,117.2,117.2,116,116,0,51760,437790
VIC,20191119,118,118.2,116.8,117.1,491510,118,118.2,116.8,117.1,0,51760,437790
VIC,20191118,119.8,119.8,117.9,118.1,267820,119.8,119.8,117.9,118.1,450000,52940,233630
VIC,20191115,119.2,120.8,118.8,119.6,238410,119.2,120.8,118.8,119.6,20000,27740,157170
VIC,20191114,119,119.8,118.8,119.3,250100,119,119.8,118.8,119.3,0,47490,150350
VIC,20191113,118.9,119.4,118.4,119,323490,118.9,119.4,118.4,119,567700,63440,514170
VIC,20191112,118.9,119.9,118.6,119.4,158520,118.9,119.9,118.6,119.4,475000,43440,59170
VIC,20191111,120.5,120.5,118.9,118.9,281300,120.5,120.5,118.9,118.9,0,42190,140240
VIC,20191108,121.6,121.6,120,120.5,492950,121.6,121.6,120,120.5,20000,224820,356160
VIC,20191107,122,122.3,120.8,120.8,246740,122,122.3,120.8,120.8,0,126410,79110
VIC,20191106,121.5,122.5,121,121.9,517800,121.5,122.5,121,121.9,206000,289910,185620
VIC,20191105,121,122,120.9,121.5,260520,121,122,120.9,121.5,20000,132480,41490
VIC,20191104,122.5,122.5,120.7,121.7,309680,122.5,122.5,120.7,121.7,0,188020,76140
VIC,20191101,120,122.5,119.5,122.5,749070,120,122.5,119.5,122.5,0,469160,134980
VIC,20191031,120,120.4,119,119,840720,120,120.4,119,119,0,489300,423710
VIC,20191030,118,119.9,117.8,119.6,600930,118,119.9,117.8,119.6,0,363280,257620
VIC,20191029,117.7,117.9,117.4,117.8,187020,117.7,117.9,117.4,117.8,45080,33900,122070
VIC,20191028,117,118.1,116.7,117.7,268360,117,118.1,116.7,117.7,0,21190,136460
VIC,20191025,117,117.4,116.7,117.2,293710,117,117.4,116.7,117.2,187250,26450,153570
VIC,20191024,117.1,117.2,116.5,117.2,396910,117.1,117.2,116.5,117.2,535200,26550,255430
VIC,20191023,116.8,117.5,116.8,117.1,130200,116.8,117.5,116.8,117.1,0,83240,33980
VIC,20191022,118,118,116.8,116.8,175690,118,118,116.8,116.8,0,39590,86900
VIC,20191021,117,118.3,116,116.9,205580,117,118.3,116,116.9,0,68060,78510
VIC,20191018,117,117,116.5,117,261460,117,117,116.5,117,107720,31090,212740
VIC,20191017,117.9,118.5,116.9,117,479110,117.9,118.5,116.9,117,0,115140,188570
VIC,20191016,119,119,117.7,118,224670,119,119,117.7,118,747410,105260,146560
VIC,20191015,118,119.3,118,118.4,222070,118,119.3,118,118.4,800000,186300,887440
VIC,20191014,118.5,119.8,117.5,118,358150,118.5,119.8,117.5,118,20000,249010,99130
VIC,20191011,117.5,118,116.7,118,328950,117.5,118,116.7,118,600000,289930,159740
VIC,20191010,117.5,117.7,116.8,116.9,273470,117.5,117.7,116.8,116.9,700000,194660,160380
VIC,20191009,116.9,118.3,116.7,117,221530,116.9,118.3,116.7,117,321000,69520,62590
VIC,20191008,117.2,117.3,116.4,117.1,353740,117.2,117.3,116.4,117.1,0,182880,163650
VIC,20191007,118,118.1,116.5,117,467120,118,118.1,116.5,117,125000,189740,222810
VIC,20191004,118,118.7,117.7,118,249050,118,118.7,117.7,118,43000,159750,85850
VIC,20191003,117.2,118,117.1,118,650460,117.2,118,117.1,118,0,304100,362550
VIC,20191002,119.9,120.5,118,118,545260,119.9,120.5,118,118,0,50460,403850
VIC,20191001,120.5,120.9,119.7,119.9,151960,120.5,120.9,119.7,119.9,0,36390,38110
VIC,20190930,120,121.2,119.6,119.8,308680,120,121.2,119.6,119.8,0,116230,66260
VIC,20190927,119,120.3,118.8,119.8,264300,119,120.3,118.8,119.8,0,47600,44140
VIC,20190926,120,120,118.8,119,334000,120,120,118.8,119,0,111910,156540
VIC,20190925,120.1,120.3,119,119.7,256590,120.1,120.3,119,119.7,0,97790,71700
VIC,20190924,119,120.4,119,120.1,258080,119,120.4,119,120.1,324580,157170,92760
VIC,20190923,119.5,120.4,118.9,119,478830,119.5,120.4,118.9,119,0,125700,330620
VIC,20190920,121.4,121.9,119.4,119.4,1827050,121.4,121.9,119.4,119.4,0,243030,1694560
VIC,20190919,122.5,122.8,121.4,121.5,345240,122.5,122.8,121.4,121.5,0,104190,228390
VIC,20190918,122.5,122.8,122.1,122.2,181830,122.5,122.8,122.1,122.2,0,45770,107040
VIC,20190917,122.1,123.8,122,122.8,416830,122.1,123.8,122,122.8,0,155690,303830
VIC,20190916,122,124.7,122,122.8,330670,122,124.7,122,122.8,0,123910,191010
VIC,20190913,122.1,122.9,120.8,122.4,278500,122.1,122.9,120.8,122.4,1413940,42190,34680
VIC,20190912,121.5,122.1,121.3,121.5,188180,121.5,122.1,121.3,121.5,0,90130,72740
VIC,20190911,122,122.8,121,121.5,176620,122,122.8,121,121.5,50000,122440,116780
VIC,20190910,123,123.2,122,122,247180,123,123.2,122,122,0,169630,86150
VIC,20190909,121.9,122.8,121.1,122.6,165730,121.9,122.8,121.1,122.6,0,116300,64580
VIC,20190906,122,123,121,121.1,280330,122,123,121,121.1,0,143820,140990
