<Ticker>,<DTYYYYMMDD>,<OpenFixed>,<HighFixed>,<LowFixed>,<CloseFixed>,<Volume>,<Open>,<High>,<Low>,<Close>,<VolumeDeal>,<VolumeFB>,<VolumeFS>
VIP,20191223,4.57,4.62,4.49,4.49,20720,5,5.06,4.91,4.91,0,0,0
VIP,20191220,4.57,4.57,4.57,4.57,10,5,5,5,5,0,0,0
VIP,20191219,4.52,4.57,4.48,4.57,6030,4.95,5,4.91,5,0,0,0
VIP,20191218,4.52,4.52,4.47,4.52,10730,4.95,4.95,4.9,4.95,0,0,0
VIP,20191217,4.52,4.54,4.49,4.52,7980,4.94,4.96,4.91,4.95,0,0,0
VIP,20191216,4.57,4.58,4.52,4.52,47950,5,5.01,4.94,4.94,0,500,0
VIP,20191213,4.62,4.62,4.55,4.61,1550,5.05,5.05,4.97,5.04,0,0,0
VIP,20191212,4.62,4.64,4.57,4.62,6150,5.05,5.07,5,5.05,0,0,0
VIP,20191211,4.62,4.62,4.62,4.62,530,5.05,5.05,5.05,5.05,0,0,0
VIP,20191210,4.63,4.63,4.58,4.62,130,5.06,5.06,5.01,5.05,0,0,0
VIP,20191209,4.63,4.63,4.49,4.63,11240,5.06,5.06,4.91,5.06,0,0,0
VIP,20191206,4.61,4.64,4.61,4.62,1740,5.04,5.07,5.04,5.05,0,0,0
VIP,20191205,4.48,4.6,4.48,4.6,55330,4.9,5.03,4.9,5.03,0,0,0
VIP,20191204,4.57,4.57,4.39,4.57,170,5,5,4.8,5,0,0,0
VIP,20191203,4.34,4.57,4.34,4.57,3310,4.75,5,4.75,5,0,0,0
VIP,20191202,4.57,4.6,4.36,4.36,5660,5,5.03,4.77,4.77,0,0,0
VIP,20191129,4.57,4.61,4.61,4.61,20,5,5.04,5.04,5.04,0,0,0
VIP,20191128,4.62,4.62,4.57,4.57,6060,5.05,5.05,5,5,0,0,0
VIP,20191127,4.63,4.63,4.4,4.57,12480,5.07,5.07,4.81,5,0,0,0
VIP,20191126,4.57,4.63,4.57,4.57,190,5,5.07,5,5,0,0,0
VIP,20191125,4.58,4.58,4.57,4.57,8300,5.01,5.01,5,5,0,0,0
VIP,20191122,4.48,4.58,4.48,4.57,5520,4.9,5.01,4.9,5,0,0,0
VIP,20191121,4.57,4.57,4.57,4.57,5330,5,5,5,5,0,0,3750
VIP,20191120,4.57,4.59,4.57,4.57,70840,5,5.02,5,5,0,0,3200
VIP,20191119,4.59,4.59,4.51,4.57,20880,5.02,5.02,4.93,5,0,0,3200
VIP,20191118,4.61,4.61,4.57,4.61,4390,5.04,5.04,5,5.04,0,100,0
VIP,20191115,4.57,4.61,4.57,4.61,10720,5,5.04,5,5.04,0,0,0
VIP,20191114,4.62,4.62,4.53,4.61,30710,5.05,5.05,4.95,5.04,0,50,0
VIP,20191113,4.58,4.61,4.57,4.61,26290,5.01,5.04,5,5.04,0,0,0
VIP,20191112,4.62,4.62,4.51,4.6,11030,5.05,5.05,4.93,5.03,0,0,0
VIP,20191111,4.57,4.62,4.57,4.62,6720,5,5.05,5,5.05,0,900,0
VIP,20191108,4.57,4.63,4.57,4.62,4160,5,5.06,5,5.05,0,100,2000
VIP,20191107,4.49,4.61,4.49,4.59,16910,4.91,5.04,4.91,5.02,0,1000,0
VIP,20191106,4.6,4.63,4.57,4.57,5230,5.03,5.07,5,5,0,1500,0
VIP,20191105,4.46,4.62,4.46,4.58,6780,4.88,5.05,4.88,5.01,0,0,0
VIP,20191104,4.39,4.63,4.39,4.62,23110,4.8,5.06,4.8,5.05,0,0,0
VIP,20191101,4.63,4.63,4.58,4.63,1880,5.07,5.07,5.01,5.06,0,0,0
VIP,20191031,4.63,4.63,4.57,4.63,24050,5.07,5.07,5,5.07,0,0,540
VIP,20191030,4.65,4.65,4.61,4.64,3600,5.09,5.09,5.05,5.08,0,0,0
VIP,20191029,4.65,4.65,4.61,4.64,4140,5.09,5.09,5.05,5.08,0,0,0
VIP,20191028,4.66,4.66,4.65,4.65,30240,5.09,5.1,5.08,5.09,0,0,0
VIP,20191025,4.57,4.65,4.57,4.61,35340,5,5.09,5,5.04,0,0,0
VIP,20191024,4.57,4.6,4.57,4.6,8760,5,5.03,5,5.03,0,0,40
VIP,20191023,4.6,4.6,4.57,4.6,38370,5.03,5.03,5,5.03,0,0,0
VIP,20191022,4.64,4.64,4.57,4.6,18190,5.08,5.08,5,5.03,0,0,0
VIP,20191021,4.65,4.65,4.57,4.58,17780,5.09,5.09,5,5.01,0,0,0
VIP,20191018,4.62,4.62,4.57,4.57,7560,5.06,5.06,5,5,0,0,0
VIP,20191017,4.62,4.65,4.62,4.64,1000,5.06,5.09,5.06,5.08,0,0,0
VIP,20191016,4.63,4.63,4.57,4.63,4920,5.07,5.07,5,5.07,0,0,0
VIP,20191015,4.64,4.64,4.57,4.64,11120,5.08,5.08,5,5.08,0,0,0
VIP,20191014,4.58,4.64,4.57,4.64,23970,5.01,5.08,5,5.08,0,0,0
VIP,20191011,4.64,4.64,4.58,4.64,6380,5.08,5.08,5.01,5.08,0,0,0
